-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,31,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,32,32,32,33,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,-1,54,-1,-1,-1,53,-1,-1,53,-1,-1,-1,53,-1,-1,-1,-1,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,12,-1,-1,54,-1,-1,-1,54,-1,-1,54,-1,-1,-1,54,-1,-1,-1,-1,54,-1,-1,-1,-1,0,1,1,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,10,12,-1,-1,54,-1,-1,-1,54,-1,-1,54,-1,-1,-1,54,-1,-1,-1,-1,54,-1,-1,-1,-1,10,11,11,11,11,11,11,11,12,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,11,11,12,-1,-1,-1,-1,-1,-1,0,2,-1,-1,10,12,-1,10,12,-1,-1,54,-1,-1,-1,54,-1,-1,54,-1,-1,-1,54,-1,-1,-1,-1,54,-1,-1,-1,-1,10,11,11,11,11,11,11,11,23,1,1,1,1,1,1,1,1,1
10,11,11,23,1,1,1,2,-1,-1,10,12,-1,-1,10,12,-1,10,12,-1,-1,54,-1,14,-1,54,-1,-1,54,-1,-1,-1,54,-1,-1,-1,-1,54,-1,31,33,-1,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
10,11,11,11,11,11,11,12,-1,-1,10,12,-1,-1,10,12,-1,10,12,-1,-1,54,-1,-1,-1,54,-1,-1,54,-1,-1,-1,54,-1,-1,-1,-1,54,-1,-1,-1,-1,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
10,11,11,11,11,11,11,12,-1,-1,10,12,-1,-1,10,12,-1,10,12,-1,-1,54,-1,-1,-1,54,-1,-1,54,-1,-1,-1,54,-1,-1,-1,-1,54,-1,-1,-1,-1,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
10,11,11,11,11,11,11,12,-1,-1,10,12,-1,-1,10,12,-1,10,12,-1,-1,54,-1,-1,-1,54,-1,-1,54,-1,-1,-1,54,-1,-1,-1,-1,54,-1,-1,-1,-1,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
